"Source:","C:\Users\fafa\Desktop\Kicad\ADAU1492\Adau1492\Adau1492.kicad_sch"
"Date:","16/12/2022 10:38:52"
"Tool:","Eeschema (6.0.9)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","170"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"B101, B102, B103, B104, ","4","TEST_1P","TEST_1P","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","",""
"C101, C104, C111, C117, C119, C120, C122, C123, C125, C127, C132, C409, C410, C412, C414, C415, C502, C507, C508, ","19","CAP_10u0_25V_X5R_0805","CAP_10u0_25V_X5R_0805-rk","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C102, C105, C109, C110, C118, C121, C124, C128, C129, C130, C131, C133, C134, C135, C136, C402, C403, C404, C405, C406, C407, C408, C411, C413, C501, C503, C506, ","27","CAP_100n_50V_X7R_0805","CAP_100n_50V_X7R_0805-rk","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C103, ","1","CAP_5n60_50V_X7R_0805","CAP_5n60_50V_X7R_0805-rk","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C106, ","1","CAP_150p_50V_C0G_0805","CAP_150p_50V_C0G_0805-rk","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C107, C108, ","2","CAP_22p0_50V_C0G_NP0_0805","CAP_22p0_50V_C0G_NP0_0805-rk","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C112, C113, C114, C137, C138, ","5","CAP_100u_20%_25V_ALUM_RADIAL","CAP_100u_20%_25V_ALUM_RADIAL","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","",""
"C115, C116, C126, ","3","330u_20%_25V_ALUM_RADIAL","CAP_330u_20%_35V_ALUM_RADIAL","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","",""
"C401, ","1","CAP_10n0_50V_X7R_0805","CAP_10n0_50V_X7R_0805","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C416, C504, ","2","CAP_22u0_10V_X5R_0805","CAP_22u0_10V_X5R_0805-rk","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","",""
"C417, C418, C419, C420, C421, C422, C423, C424, C425, C426, C427, C428, C429, C430, C431, C432, C433, C434, C435, C436, C437, C438, C439, C440, C441, ","25","CAP_100n_10V_X7R_0402","CAP_100n_10V_X7R_0402-rk","Capacitors_SMD:C_0402","",""
"D401, ","1","DIO_MBR120VLSFT","DIO_MBR120VLSFT-rk","Diode_SMD:D_SOD-123","",""
"FER101, FER102, ","2","FER_600R_600MA_0805","FER_600R_600MA_0805-rk","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","",""
"IC101, ","1","IC_ADAU1452","IC_ADAU1452-rk","Package_CSP:LFCSP-72-1EP_10x10mm_P0.5mm_EP5.3x5.3mm_ThermalVias","",""
"IC102, ","1","IC_25AA1024","IC_25AA1024-rk","SamacSys_Parts:SOIC127P794X203-8N","",""
"IC103, ","1","IC_TLE2426ID","IC_TLE2426ID-rk","Package_SO:SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","",""
"IC104, ","1","IC_ADM811TARTZ","IC_ADM811TARTZ-rk","Package_TO_SOT_SMD:SOT-143_Handsoldering","",""
"IC105, IC107, ","2","IC_LM1117MP-5.0","IC_LM1117MP-5.0-rk","Package_TO_SOT_SMD:SOT-223","",""
"IC106, IC409, IC502, ","3","IC_NCP1117LPST33","IC_NCP1117LPST33-rk","Package_TO_SOT_SMD:SOT-223","",""
"IC401, ","1","IC_NC7WZ07","IC_NC7WZ07-rk","TO_SOT_Packages_SMD:SC-70-6","",""
"IC402, ","1","NC7SZ175","NC7SZ175","TO_SOT_Packages_SMD:SOT-363_SC-70-6","",""
"IC403, ","1","IC_XE216-512-TQ128","IC_XE216-512-TQ128-rk","SamacSys_Parts:QFP40P1600X1600X120-129N","",""
"IC404, ","1","IC_CS2100CP","IC_CS2100CP-rk","Housings_SSOP:MSOP-10_3x3mm_Pitch0.5mm","",""
"IC405, IC406, ","2","NC7SZ157","NC7SZ157","TO_SOT_Packages_SMD:SC-70-6","",""
"IC407, ","1","TLV70025","TLV70025-rkdev","Package_TO_SOT_SMD:SOT-353_SC-70-5_Handsoldering","",""
"IC408, ","1","IC_IS25LP080D","IC_IS25LP080D-rk","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","",""
"IC410, ","1","IC_TLV62565","IC_TLV62565-rk","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","",""
"IC501, ","1","ESP32-WROOM-32U","ESP32-WROOM-32U","RF_Module:ESP32-WROOM-32U","",""
